"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",139,0.36995244078179,1.48119386725682,0.00918718465493051,0.0208799651248421,0.00967072068940054,4574,"tags=42%, list=27%, signal=31%","Il6/Cxcl1/Hmox1/Ccne1/Htr7/Icam1/Rasgrp1/Tfrc/Polr2h/Arrb2/Cdc34/Gal/Nfkbia/Ap2s1/Lyn/Tap1/Junb/Gpx3/Asns/Mmp14/Tchh/Tuba4a/Gch1/Atp6v1f/Alas1/Prpf3/Dnaja1/Dgat1/Rfc4/Stip1/Nptx2/Pole3/Aldoa/Sigmar1/Mrpl23/Fos/Cdk2/Psmc3/Pdap1/Bak1/Stk25/Cyb5r1/Cdkn1c/Nxf1/Ppat/Grina/Sod2/Rpn1/Ddx21/E2f5/Cnp/Amd1/Fkbp4/Ccnd3/Fosb/Irf1/Parp2/Hyal2"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",140,-0.342647397049367,-1.42335241894925,0.0169780883189522,0.0353710173311505,0.016382365921796,4830,"tags=38%, list=29%, signal=27%","Cryz/Eci1/Gstz1/Acaa2/Echs1/Adipor2/Bmpr1b/Sdha/Hibch/Hsd17b4/Hsd17b11/Serinc1/Aldh3a2/Idi1/Acadm/Hadhb/Acads/Fasn/Ephx1/Cbr3/Car2/Ptprg/Hadh/Acot2/Me1/Aqp7/Suclg1/Cpt1a/Eno3/Glul/Bphl/Gabarapl1/Etfdh/Retsat/Acadvl/Adh7/Reep6/Dhcr24/Acss1/Mgll/Gapdhs/Maoa/Ugdh/Acsm3/Inmt/Aldh1a1/Ehhadh/Hpgd/Aoc3/Gad2/Hao2/Hmgcs2/Ppara"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,0.333099147636181,1.38324257702599,0.0167289058344392,0.0353710173311505,0.016382365921796,5460,"tags=43%, list=32%, signal=30%","Polr2f/Bax/Uqcrq/Etfb/Mrps15/Timm9/Ndufb7/Ndufa5/Tomm22/Mrpl11/Tcirg1/Timm13/Ndufs4/Cox7c/Atp6v1g1/Timm10/Ndufa2/Timm8b/Atp6v1f/Ndufb3/Alas1/Ndufa8/Mrpl35/Gm10053/Mrps30/Ndufa3/Timm50/Cox6b1/Ndufv2/Mrpl15/Uqcrb/Vdac2/Ndufc1/Uqcrh/Ndufs7/Phb2/Ndufab1/Iscu/Mrpl34/Cox5b/Ldha/Mrps11/Atp6v0b/Uqcr10/Cox6c/Mrps22/Hspa9/Cyb5a/Cox7b/Ndufb6/Gpi1/Ndufc2/Mtx2/Cox7a2/Timm17a/Htra2/Idh1/Tomm70a/Ndufs6/Atp6v1d/Uqcr11/Gpx4/Ndufs3/Atp6v1h/Ndufs8/Atp6v0e/Cox4i1/Supv3l1/Sdhc/Ndufb8/Cox8a/Mgst3/Ndufa4/Atp6v1c1/Atp6ap1/Ndufa7/Fxn/Ndufs2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",90,0.390535959513905,1.46473030799542,0.0241079850257147,0.0482159700514294,0.0223316071817147,1768,"tags=19%, list=10%, signal=17%","Olr1/Mmp3/A2m/F10/Mmp10/Timp1/Plek/C3/Mmp7/Plat/Cfh/Gda/Anxa1/Pf4/Lgmn/C1qa/Mmp14"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",128,-0.331304191061549,-1.35700352128196,0.0395294520302639,0.0733222263744417,0.0339597680050046,4504,"tags=37%, list=27%, signal=27%","Nipbl/Tfpi/Nr3c1/Tjp1/Ptprm/Ldlr/Ptpn21/Acvr2a/Atrn/Prkca/Erbb2/Nr1d2/Adgrl2/Cited2/Prkce/Cdon/Ltbp1/Cacna1a/Map1b/Fbln5/Add3/Atp2b1/Col11a1/Pik3r3/Rxra/Prkar2b/Zmiz1/Rbpms/Vldlr/Cdc42bpa/Smad7/Plcb4/Sdc2/Schip1/Mgll/Inpp4b/Atxn1/Insig1/Cav1/Pmp22/Cap2/Kcnma1/Irs1/Arhgef9/Fzd2/Atp2b4/Kit"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",188,0.318577936047001,1.32609311392262,0.0395940022421985,0.0733222263744417,0.0339597680050046,4215,"tags=35%, list=25%, signal=27%","Il1a/Hmox1/Socs1/Ier3/Slc7a11/Tnfsf9/Lif/Sphk1/Gpx2/Def6/Inhbb/Hbegf/Rps12/Dram1/Ada/Bax/Epha2/S100a10/Nupr1/Rgs16/Sfn/Sat1/Rap2b/Tap1/Rhbdf2/Gadd45a/Rpl36/Ppp1r15a/Tgfb1/Fam162a/Tchh/Upp1/Rps27l/Fbxw7/Pidd1/Rpl18/Apaf1/Hdac3/Rad9a/Pcna/Stom/Hras/Fos/Ddit3/Iscu/Bak1/Serpinb5/Ifi30/Dgka/Aen/Jag2/Ddit4/Pmm1/Rrp8/Dcxr/Pdgfa/Cdk5r1/Vamp8/Rad51c/Fas/Slc3a2/Trafd1/Baiap2/Nol8/Dnttip2/Cyfip2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",47,0.444279850054033,1.44269207632251,0.0494296577946768,0.0882672460619229,0.040881671860259,6526,"tags=72%, list=39%, signal=45%","Ipcef1/Hhex/Fes/Junb/Gpx3/Ftl1/Gsr/Sbno2/Prdx1/Cdkn2d/Lamtor5/Stk25/G6pdx/Txnrd1/Gclm/Prdx2/Lsp1/Sod2/Mgst1/Atox1/Ptpa/Gpx4/Srxn1/Gclc/Ndufs2/Glrx/Ndufa6/Txnrd2/Prdx4/Txn1/Pfkp/Scaf4/Abcc1/Oxsr1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",140,0.316969843048101,1.27027856317974,0.0610412926391382,0.105243607998514,0.0487444079151013,3348,"tags=30%, list=20%, signal=24%","Il6/Cxcl5/Mmp3/Spp1/Timp1/Plaur/Capg/Vcam1/Inhba/Areg/Crlf1/Gadd45b/Lama1/Tnfrsf12a/Igfbp4/Grem1/Sat1/Mgp/Gadd45a/Tgfb1/Tgm2/Mmp14/Fgf2/Dab2/Tnfrsf11b/Dcn/Pthlh/Prrx1/Pmepa1/Foxc2/Nnmt/Pvr/Cd44/Gem/Mcm7/Pcolce2/Tgfbi/Cthrc1/Gpx7/Basp1/Lamc2/Tpm4"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",92,-0.33502297515627,-1.30881542217268,0.0734966592427617,0.122494432071269,0.0567342632751143,1329,"tags=12%, list=8%, signal=11%","Hsd11b2/Atxn1/Aldh1a1/Ehhadh/Esr2/Slc27a2/Ttr/Hao2/Dio1/Abcb1a/Alb"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",99,0.31954847702178,1.22476338568638,0.147272727272727,0.230113636363636,0.106578947368421,3815,"tags=29%, list=23%, signal=23%","Cxcr4/Sla/Il2rg/Cdk1/Cfl1/Sfn/Lck/Prkcb/Myd88/Arpc3/Prkag1/Pfn1/Ube2n/Hsp90b1/Eif4e/Adcy2/Hras/Ddit3/Cdk2/Calr/E2f1/Cdk4/Pla2g12a/Slc2a1/Actr3/Tnfrsf1a/Nfkbib/Actr2/Csnk2b"
