"","C1","C2","C3","C4","M2","M3","M4","M5"
"Muc3",15.9650466227131,15.8265972319669,15.8875378469774,15.0531036589732,15.470010233176,14.9372885744276,14.298684682183,13.5593984501874
"Clca1",16.0230263651412,17.0915640128028,15.4013069961931,16.1433093789218,12.3957983930019,11.6372785374243,10.3628176777287,11.0885513259378
"Fth1",14.036524913295,13.8963129288604,14.1577258632558,13.8003355648352,14.7719637132862,14.4255238690241,14.5645185616122,14.9476996744033
"Muc13",15.0540381586262,15.0518989353669,14.8358903411174,14.4419486189742,15.607842146194,15.8369529463082,15.1956699082684,13.8494424612476
"Atp1a1",15.26696009251,15.5012294636757,15.0769363862225,15.0642129453093,14.3892827682837,13.3659260006611,14.353255966206,14.1123473977732
"Ceacam1",14.9348770045126,15.1701483641791,14.5010734871513,15.9226157977401,14.614638570318,14.277013814384,14.1496511889058,14.0545173915195
"Igha",14.6076055661139,15.3964467417314,14.7278601828188,16.3327031448065,12.9655912981053,14.8275415679524,12.8008262338444,14.8827609843243
"Col3a1",13.8501395879013,13.9650309786392,13.9955565895503,13.7960289075672,10.7104444469524,10.6723742109393,11.6514429589908,15.922955365976
"Hsp90ab1",14.6332410108106,14.1976867376357,14.392036284235,13.9613785479089,14.6634098189325,14.0511956590473,15.5243594323164,14.7370187785483
"Rplp0",14.1457497595227,14.0487979189927,14.2857292562286,13.9303560166195,15.0611607114456,14.4753332010087,15.4706571138586,14.2902512279267
"Hspa8",14.4543632648961,14.0427904781238,14.4719885841554,13.668588035651,15.0046792838938,14.8683372790381,15.250895954104,14.6475191890411
"Prdx6",15.1277608602929,15.1354259274443,15.3431882779996,13.633488408374,15.0314603814286,14.6602138404073,14.3618823559963,13.2373377661559
"Actg1",14.4689480045261,14.6749286183047,14.290550510825,14.2930026751377,14.4338489346832,13.4708964497697,15.0829927112573,14.6819536020967
"mt-Rnr1",11.7239849783998,11.4201733472454,12.3476043005831,12.2021620615685,14.8557888647727,15.6784459301967,14.4266697282931,10.9414593596573
"Tpt1",13.8950309959462,13.6860593145157,14.0688218237017,13.6430152491443,14.9316144942173,14.9187137000782,15.045513875015,13.6654767610701
"Tpm1",13.2970166750065,13.2450982108102,13.6817866644147,14.1508990559785,12.0310492959432,12.0521725260366,12.1447250544886,12.6087747344066
"Flna",14.3916759945757,14.3291243725429,14.7159936126443,15.2125740048504,10.6613061873328,10.4890263580259,11.738734420874,14.4355552859369
"Rpsa",13.6184588972037,13.4317117921966,13.5855135238325,13.2832264241037,15.0052433925013,14.5992236382445,15.4135272856103,13.9405058107133
"Ckmt1",14.9254436033519,14.8183603222004,14.7858160050482,13.2712379662001,14.834650097854,14.5909048545341,14.0221221274788,12.3750140432094
"Pkm",13.6091943385257,13.562175402685,13.5247406493321,13.3588717605712,14.5532606629999,14.043341792533,14.8683399161052,14.2018779796015
"mt-Atp6",10.8171493935507,10.9153995561875,10.158614139716,11.2048685699206,14.8654808327597,16.4124318160251,13.2654240555974,8.84913337432675
"Rps2",13.3014060749459,13.2035630927242,13.3566306048956,13.1924256130788,14.9641585676713,14.3840990930777,15.4301221919947,14.0122721068786
"Ldha",13.6525732022654,13.4673578140213,13.4932578035455,13.5434562525813,14.6204075478551,13.654067602228,15.0685730010806,13.721351138159
"Ahnak",14.3647304432868,14.4768503597415,14.3969801667669,13.9399906725989,13.8495619542486,13.9355073640974,13.6243521307869,13.8795949154376
"Spint2",14.2218210240326,14.1103385360389,14.2760381404891,13.9912206874358,15.2408637113938,14.9810487902912,14.4353647977921,12.4401982661842
"Zg16",14.6026679059173,15.0781664098204,14.5864956109059,13.225596719954,14.6246190678322,14.7841911178983,13.3934608287047,12.2953835597433
"Atp5b",14.2917391923136,14.2328734935279,14.1136759378401,14.2491272943189,13.5719174899199,12.8756911170086,14.1793107077128,13.8565031156939
"Myh11",14.4163579876654,14.2654178840116,14.8927098607534,15.6945284678996,8.34844827930185,8.15059147294183,9.50773858031212,12.7725008198997
"Epcam",14.1939098082028,14.2638047547706,14.242114450496,14.1124150933119,14.7354637209362,14.2550256600896,14.6001410624338,13.2523003933942
"Acta1",6.26164196792544,6.5993055485314,6.38123154329249,7.46235701141468,7.35397032632769,8.61844843763121,6.31079925637697,6.44364902611788
"Atp5a1",14.1649211063064,14.1062396895442,13.9640006229166,14.114353491218,13.7579575375219,13.0161508942899,14.3381007854065,13.6168139244653
"Cdh1",14.5057882866947,14.5902431891397,14.1386149594589,14.0338336887719,14.0935328895804,13.9264449641532,14.0603662262818,13.313026320963
"Des",13.6614574865131,13.6213205682371,13.8921632095862,14.6261021937659,8.65563858962615,8.95784612764457,11.012771358089,12.3883836971313
"Rpl4",13.7073522422698,13.6242402667551,13.7237792099845,13.4308586762408,14.0818140193932,13.576138501037,14.744417746121,13.7441861900209
"Dstn",13.8351752959369,13.8793892626693,13.7865574798496,13.8669742882608,14.5255017069748,13.7665222176237,14.7999627935093,13.1709205477973
"Tgm3",15.4179468300689,15.3251961295165,15.0853562656436,10.7708639926308,12.6764213832824,12.0915251937567,11.3367253265853,10.6342937819507
"Tnnt3",5.17985813254666,5.39784863412463,5.46178449352505,5.12573238593647,4.72388894496105,7.86641950590074,5.06604782297582,5.36147710741511
"Atp1b1",14.3489809243903,14.4970931065718,14.4530125856817,14.0109018160267,13.3084597677439,12.6162995537026,13.6032313900614,13.0538417373621
"Igfbp5",10.248667472772,10.4616376831078,10.4708328557224,9.96387258899792,9.60524975394496,9.82156865292443,12.2107523848384,14.4583166774313
"Plec",13.9924976747291,14.1711521179231,13.920230321914,13.9675191186986,13.8346350892995,13.2784115439752,12.5719124149585,13.5764992994595
"Rps3a1",13.1998504995657,13.062083823112,13.3037238659404,12.9349529338509,14.4453078429134,14.1248301285648,15.0100319682605,13.2825353877887
"Eif4g2",13.6417960658489,13.6822964202192,13.5466804751655,13.5179516098708,13.5483239469554,13.2051370660964,14.3857269449446,13.8430408517135
"Ddx5",13.6204364430233,13.5243030744964,13.7625123187773,13.5852864276976,13.4089291097242,13.7505840020611,13.336775206809,13.5340593098218
"Atp2a3",14.1331849894889,14.2764035887395,13.8410094941741,14.258736035646,13.67452650544,13.4778683356171,12.8357749748253,12.6747580476075
"Oit1",13.930088764759,13.8769432485859,13.9154551153694,13.5808872307835,14.7578517439067,14.9531955909552,13.6049941344946,12.2332322211815
"Lgals3",13.495870233717,13.5480365138249,13.6654899496299,13.9771378282201,14.7111519987744,14.8945553011774,13.9214728613822,12.1086603583635
"H2-D1",13.0796222690641,13.0556841315523,13.0075999665573,12.9942003143781,14.4962499250601,14.3907036789184,14.2274510325714,13.880102013997
"Myh9",13.9622371904704,14.0465480591271,13.6059522188396,13.5614306924465,12.9522489876724,12.6156162825002,12.7911811578252,14.207613274298
"Tpm2",12.1968540844302,12.1320907693332,12.7644652492884,13.2053441001476,9.91932149195381,10.0288090645192,10.7790091764016,10.9271341865773
