"statistic","source","condition","score","p_value"
"ulm","PPARG","C3",-0.702443101317184,0.482412297630234
"ulm","PPARG","C4",-0.24548168106315,0.806086394217217
"ulm","PPARG","M2",-0.399210642631428,0.689742915549641
"ulm","PPARG","M3",-0.624446251458411,0.532342769221713
"ulm","PPARG","M4",-0.751536026786067,0.452340321349084
"ulm","PPARG","M5",-1.29094648809487,0.196739434447144
"ulm","NR1H2","C1",-0.0223434784430096,0.982174223689071
"ulm","NR1H2","C2",-0.0221254138670457,0.982348168535697
"ulm","NR1H2","C3",0.268896842139659,0.788012264392309
"ulm","NR1H2","C4",0.344608082847385,0.730393205252414
"ulm","NR1H2","M2",0.50759406912242,0.611744502955728
"ulm","NR1H2","M3",0.241332897999328,0.809299967228972
"ulm","NR1H2","M4",0.770899730022201,0.440776864828112
"ulm","NR1H2","M5",1.22567125880913,0.220339046865913
"ulm","ATF4","C1",-1.7007120826758,0.0890149855816853
"ulm","ATF4","C2",-1.54457981203998,0.122466170718309
"ulm","ATF4","C3",-1.73986994274111,0.0818995896034666
"ulm","ATF4","C4",-1.52323701209699,0.127717644777555
"ulm","ATF4","M2",-1.11405902693485,0.265269297380466
"ulm","ATF4","M3",-1.05537922396409,0.291266616544018
"ulm","ATF4","M4",-1.56615074051984,0.117331568928886
"ulm","ATF4","M5",-1.08188414038706,0.279319049256985
"ulm","HNF4A","C1",-1.70669168706858,0.0878972675101006
"ulm","HNF4A","C2",-1.35245287938041,0.176248109220662
"ulm","HNF4A","C3",-1.34740810180159,0.177866428039989
"ulm","HNF4A","C4",-1.35382412520181,0.175810129370743
"ulm","HNF4A","M2",-0.426648711857492,0.66964050570026
"ulm","HNF4A","M3",-0.41282232832096,0.679741892386346
"ulm","HNF4A","M4",-0.124109352463539,0.901230130943916
"ulm","HNF4A","M5",1.18068625233212,0.237743570444038
"ulm","RELA","C1",0.636011496062354,0.524777318427682
"ulm","RELA","C2",0.711992032023667,0.476479283509551
"ulm","RELA","C3",0.702443101317184,0.482412297630234
"ulm","RELA","C4",0.24548168106315,0.806086394217217
"ulm","RELA","M2",0.399210642631428,0.689742915549641
"ulm","RELA","M3",0.624446251458411,0.532342769221713
"ulm","RELA","M4",0.751536026786067,0.452340321349084
"ulm","RELA","M5",1.29094648809487,0.196739434447144
"ulm","NFKB1","C1",0.636011496062354,0.524777318427682
"ulm","NFKB1","C2",0.711992032023667,0.476479283509551
"ulm","NFKB1","C3",0.702443101317184,0.482412297630234
"ulm","NFKB1","C4",0.24548168106315,0.806086394217217
"ulm","NFKB1","M2",0.399210642631428,0.689742915549641
"ulm","NFKB1","M3",0.624446251458411,0.532342769221713
"ulm","NFKB1","M4",0.751536026786067,0.452340321349084
"ulm","NFKB1","M5",1.29094648809487,0.196739434447144
"ulm","GATA4","C1",-1.85967794923955,0.0629480165718055
"ulm","GATA4","C2",-1.47856881143207,0.139273747201808
"ulm","GATA4","C3",-1.67666117217842,0.0936267726902827
"ulm","GATA4","C4",-1.55444929890959,0.120095521193729
"ulm","GATA4","M2",-0.741993950139514,0.458101045204654
"ulm","GATA4","M3",-0.625390978311095,0.531722707290479
"ulm","GATA4","M4",-0.490667969740034,0.6236675097217
"ulm","GATA4","M5",0.10243592819384,0.918411850893495
"ulm","KLF2","C1",-0.636011496062354,0.524777318427682
"ulm","KLF2","C2",-0.711992032023667,0.476479283509551
"ulm","KLF2","C3",-0.702443101317184,0.482412297630234
"ulm","KLF2","C4",-0.24548168106315,0.806086394217217
"ulm","KLF2","M2",-0.399210642631428,0.689742915549641
"ulm","KLF2","M3",-0.624446251458411,0.532342769221713
"ulm","KLF2","M4",-0.751536026786067,0.452340321349084
"ulm","KLF2","M5",-1.29094648809487,0.196739434447144
"ulm","KLF5","C1",0.636011496062354,0.524777318427682
"ulm","KLF5","C2",0.711992032023667,0.476479283509551
"ulm","KLF5","C3",0.702443101317184,0.482412297630234
"ulm","KLF5","C4",0.24548168106315,0.806086394217217
"ulm","KLF5","M2",0.399210642631428,0.689742915549641
"ulm","KLF5","M3",0.624446251458411,0.532342769221713
"ulm","KLF5","M4",0.751536026786067,0.452340321349084
"ulm","KLF5","M5",1.29094648809487,0.196739434447144
"ulm","PPARD","C1",-0.636011496062354,0.524777318427682
"ulm","PPARD","C2",-0.711992032023667,0.476479283509551
"ulm","PPARD","C3",-0.702443101317184,0.482412297630234
"ulm","PPARD","C4",-0.24548168106315,0.806086394217217
"ulm","PPARD","M2",-0.399210642631428,0.689742915549641
"ulm","PPARD","M3",-0.624446251458411,0.532342769221713
"ulm","PPARD","M4",-0.751536026786067,0.452340321349084
"ulm","PPARD","M5",-1.29094648809487,0.196739434447144
"ulm","ETS1","C1",0.636011496062354,0.524777318427682
"ulm","ETS1","C2",0.711992032023667,0.476479283509551
"ulm","ETS1","C3",0.702443101317184,0.482412297630234
